Variety,Quantity,Usage,Period
Nethra Palam,236,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Nadee,2339,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Suwandal,4400,Make organic fertilizers,November-January
Anamalu,2052,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,3817,Make single use plastic alternatives,November-January
Kandula,249,make banana silk which is eco friendly and biodegradable,November-January
Seeni Parakum,2713,Make single use plastic alternatives,January-December
Puwalu,2122,cosmetic industry- Make haircare treatments with banana extracts,November-January
Ambum,1062,Make innorganic fertilizers,January-December
Ambul Kesel,3725,Make breakfast cereals,January-December
Ambum,88,Banana flavored craft beers,January-December
Ambul Nadee,1792,Banana candies,January-December
Rath Kesel,3677,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Suwandal,617,Banana chocolates and sweets,January-December
Ambul Nadee,3783,Make jam and sugary products to the local market,November-January
Kolikuttu,4860,Make bioplastics,January-December
Seeni Parakum,2521,Make banana oils are used in cosmatic industry,November-January
Ambum,4738,Export to USA as fresh banana,January-December
Green Banana,4079,Make jam and sugary products to the local market,January-December
Kandula,4117,Make banana oils are used in cosmatic industry,January-December
Kolikuttu,3749,Food industry-desserts varieties,November-January
Seeni Parakum,4736,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Rath Kesel,1674,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Rath Kesel,4102,dehydrated banana chips,January-December
Rath Kesel,4573,Textile industry- make banana fibers,November-January
Seeni Parakum,4874,cosmetic industry- Make haircare treatments with banana extracts,January-December
Suwandal,3962,make banana silk which is eco friendly and biodegradable,November-January
Kandula,81,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Nethra Palam,1195,Make bioplastics,January-December
Nethra Palam,2393,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Sini Kesel,2143,Textile industry- make banana fibers,January-December
Rath Kesel,3715,dehydrated banana chips,January-December
Ambul Kesel,2109,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,3512,Give CBL to make Waffers Biscuits,November-January
Sini Kesel,4635,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Anamalu,1295,Make jam and sugary products to the local market,January-December
Ambul Nadee,4077,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,3784,Give CBL to make Waffers Biscuits,January-December
Suwandal,3580,Food industry-desserts varieties,January-December
Ambul Kesel,1917,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Kesel,4361,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kandula,3274,Give CBL to make Waffers Biscuits,January-December
Seeni Parakum,1147,Make bioplastics,November-January
Seeni Parakum,4708,Food industry-desserts varieties,November-January
Kandula,2985,Make natural remedies,November-January
Nethra Palam,1362,Make single use plastic alternatives,January-December
Ambul Nadee,1317,dehydrated banana chips,January-December
Ambul Nadee,1144,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Seeni Parakum,2859,Food industry-desserts varieties,January-December
Nethra Palam,1747,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,4072,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,2742,make banana silk which is eco friendly and biodegradable,January-December
Suwandal,4917,Banana flavored craft beers,November-January
Ambum,3740,Food industry-desserts varieties,January-December
Kolikuttu,2190,Make single use plastic alternatives,January-December
Ambul Kesel,3404,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambul Nadee,267,Make jam and sugary products to the local market,January-December
Green Banana,890,Banana flavored craft beers,November-January
Kandula,802,Make bioplastics,January-December
Ambul Nadee,3410,Make organic fertilizers,January-December
Rath Kesel,205,Make natural remedies,January-December
Puwalu,676,Banana flavored craft beers,November-January
Sini Kesel,890,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,4848,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,4274,Banana flavored craft beers,November-January
Green Banana,479,Make high quality acid free paper from banana stems and leaves,November-January
Sini Kesel,2099,Make jam and sugary products to the local market,November-January
Suwandal,3709,Bakery industry- Banana breads and banana cakes,January-December
Rath Kesel,4880,Banana chips ( both sweetened and unsweetened),January-December
Ambum,1783,Make jam and sugary products to the local market,November-January
Ambul Kesel,418,Banana chips ( both sweetened and unsweetened),January-December
Ambum,4690,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Seeni Parakum,2199,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,939,Make innorganic fertilizers,November-January
Puwalu,4944,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,2365,Banana candies,November-January
Nethra Palam,4819,Make single use plastic alternatives,January-December
Sini Kesel,190,Make banana oils are used in cosmatic industry,November-January
Ambum,526,Bakery industry- Banana breads and banana cakes,November-January
Kandula,3240,Brewing and distilling industry- Make banana beer,November-January
Rath Kesel,1278,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Kolikuttu,1977,Make single use plastic alternatives,November-January
Ambul Nadee,4794,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Kesel,3787,Make breakfast cereals,January-December
Kandula,3109,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,1812,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Nadee,3291,Brewing and distilling industry- Make banana beer,November-January
Puwalu,3520,Banana chips ( both sweetened and unsweetened),January-December
Green Banana,3054,Give CBL to make Waffers Biscuits,January-December
Seeni Parakum,650,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,826,Make jam and sugary products to the local market,January-December
Ambul Nadee,1681,Give CBL to make Waffers Biscuits,November-January
Puwalu,3992,Make banana oils are used in cosmatic industry,January-December
Anamalu,4157,Export to USA as fresh banana,January-December
Green Banana,2368,cosmetic industry- Make haircare treatments with banana extracts,November-January
Rath Kesel,4566,Make jam and sugary products to the local market,January-December
Seeni Parakum,1647,dehydrated banana chips,November-January
Ambul Nadee,1184,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambum,1485,Banana flavored craft beers,January-December
Ambul Nadee,4576,Banana chips ( both sweetened and unsweetened),November-January
Suwandal,4643,Textile industry- make banana fibers,November-January
Seeni Parakum,4869,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Rath Kesel,1097,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Kolikuttu,4855,Make bioplastics,November-January
Seeni Parakum,1267,Food industry-desserts varieties,January-December
Nethra Palam,1844,Banana candies,January-December
Green Banana,3893,Export to USA as fresh banana,November-January
Kandula,3367,Banana chocolates and sweets,November-January
Ambul Nadee,3167,Export to USA as fresh banana,November-January
Suwandal,2663,dehydrated banana chips,January-December
Ambum,1616,Make high quality acid free paper from banana stems and leaves,January-December
Kandula,867,Bakery industry- Banana breads and banana cakes,November-January
Sini Kesel,2390,make banana silk which is eco friendly and biodegradable,November-January
Suwandal,1802,Make high quality acid free paper from banana stems and leaves,January-December
Ambul Kesel,783,Make single use plastic alternatives,January-December
Green Banana,2059,Make innorganic fertilizers,November-January
Ambum,3641,Banana chips ( both sweetened and unsweetened),November-January
Seeni Parakum,1340,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Kesel,3209,Textile industry- make banana fibers,January-December
Ambul Kesel,1357,Brewing and distilling industry- Make banana beer,January-December
Green Banana,2506,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,2206,Give CBL to make Waffers Biscuits,November-January
Nethra Palam,2749,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Seeni Parakum,3913,Bakery industry- Banana breads and banana cakes,January-December
Green Banana,4328,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Nethra Palam,1307,dehydrated banana chips,January-December
Ambul Kesel,4082,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Rath Kesel,3143,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Seeni Parakum,4597,Make jam and sugary products to the local market,November-January
Puwalu,3979,Make organic fertilizers,January-December
Ambum,1597,Textile industry- make banana fibers,November-January
Kandula,3100,Textile industry- make banana fibers,November-January
Ambul Nadee,3861,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,4676,Give CBL to make Waffers Biscuits,January-December
Seeni Parakum,1606,Make single use plastic alternatives,November-January
